2017 01  0.061,259.34, 37.44, 45.44, 41.44
2017 02  0.060,258.74, 37.54, 46.44, 41.99
2017 03  0.060,257.38, 38.22, 51.92, 45.06
2017 04  0.063,257.61, 41.12, 53.32, 47.22
2017 05  0.068,260.02, 43.40, 49.31, 46.35
2017 06  0.075,263.28, 44.49, 43.50, 43.99
2017 07  0.084,267.24, 45.74, 34.28, 40.00
2017 08  0.098,271.34, 49.53, 24.84, 37.18
2017 09  0.116,274.84, 55.00, 18.71, 36.84
2017 10  0.135,278.19, 58.57, 14.89, 36.71
2017 11  0.154,281.03, 61.21, 11.81, 36.49
2017 12  0.176,283.53, 64.58, 11.36, 37.96
2017 13  0.198,285.87, 67.82, 10.06, 38.94
2017 14  0.220,287.74, 69.80,  9.14, 39.47
2017 15  0.246,289.39, 70.28, 11.87, 41.07
2017 16  0.270,291.15, 67.80, 17.10, 42.45
2017 17  0.296,292.26, 64.02, 26.23, 45.13
2017 18  0.323,293.48, 60.84, 31.80, 46.32
2017 19  0.351,294.85, 58.00, 32.08, 45.04
2017 20  0.375,295.74, 54.73, 33.29, 44.01
2017 21  0.396,296.52, 52.08, 34.84, 43.46
2017 22  0.412,297.12, 49.65, 35.66, 42.66
2017 23  0.427,297.85, 49.93, 31.05, 40.49
2017 24  0.439,298.33, 54.01, 26.33, 40.17
2017 25  0.448,298.63, 57.56, 26.57, 42.06
2017 26  0.452,298.94, 59.15, 26.00, 42.57
2017 27  0.454,298.47, 60.95, 26.31, 43.63
2017 28  0.455,298.41, 63.20, 31.08, 47.14
2017 29  0.455,298.35, 64.95, 38.13, 51.54
2017 30  0.453,298.48, 66.82, 41.85, 54.34
2017 31  0.450,298.85, 68.13, 38.54, 53.34
2017 32  0.444,299.22, 66.27, 36.56, 51.42
2017 33  0.434,299.37, 60.59, 40.49, 50.54
2017 34  0.392,297.34, 53.95, 44.25, 49.10
2017 35  0.374,296.18, 52.11, 40.87, 46.49
2017 36  0.343,293.80, 52.36, 39.91, 46.14
2017 37  0.320,291.62, 52.81, 46.53, 49.67
2017 38  0.296,289.43, 51.05, 52.24, 51.64
2017 39  0.271,287.42, 47.40, 55.74, 51.57
2017 40  0.238,284.26, 39.37, 70.01, 54.69
2017 41  0.201,280.91, 30.03, 81.14, 55.59
2017 42  0.165,277.29, 22.39, 85.44, 53.92
2017 43  0.138,274.13, 20.74, 82.19, 51.46
2017 44  0.111,271.02, 16.68, 78.14, 47.41
2017 45  0.096,268.71, 17.10, 69.86, 43.48
2017 46  0.081,266.07, 16.35, 65.91, 41.13
2017 47  0.075,264.54, 20.84, 58.90, 39.86
2017 48  0.073,263.57, 28.04, 55.06, 41.54
2017 49  0.067,261.40, 28.21, 57.00, 42.59
2017 50  0.064,259.42, 30.61, 57.64, 44.12
2017 51  0.065,259.92, 35.80, 48.85, 42.31
2017 52  0.068,261.16, 41.82, 40.46, 41.14
2018 01  0.072,262.07, 48.71, 33.96, 41.33
2018 02  0.073,260.44, 50.41, 38.84, 44.63
2018 03  0.074,259.24, 51.72, 44.11, 47.91
2018 04  0.076,258.29, 52.68, 50.67, 51.67
2018 05  0.073,258.21, 47.21, 58.40, 52.80
2018 06  0.068,258.26, 41.45, 60.45, 50.95
2018 07  0.067,259.81, 36.22, 61.12, 48.66
2018 08  0.068,261.91, 33.81, 61.20, 47.50
2018 09  0.074,264.02, 33.48, 61.23, 47.35
2018 10  0.081,266.34, 31.37, 62.47, 46.91
2018 11  0.092,268.89, 31.29, 60.28, 45.77
2018 12  0.113,273.00, 35.06, 55.02, 45.03
2018 13  0.144,278.21, 41.46, 46.95, 44.20
2018 14  0.184,283.46, 51.04, 32.54, 41.79
2018 15  0.221,287.38, 57.50, 24.38, 40.94
2018 16  0.258,290.41, 61.35, 21.21, 41.28
2018 17  0.293,292.44, 62.61, 22.87, 42.74
2018 18  0.323,293.58, 60.96, 29.37, 45.16
2018 19  0.348,294.24, 56.65, 36.99, 46.82
2018 20  0.365,294.28, 49.15, 48.20, 48.67
