2018 01  0.072,262.07, 48.71, 33.96, 41.33
2018 02  0.073,260.44, 50.41, 38.84, 44.63
2018 03  0.074,259.24, 51.72, 44.11, 47.91
2018 04  0.076,258.29, 52.68, 50.67, 51.67
2018 05  0.073,258.21, 47.21, 58.40, 52.80
2018 06  0.068,258.26, 41.45, 60.45, 50.95
2018 07  0.067,259.81, 36.22, 61.12, 48.66
2018 08  0.068,261.91, 33.81, 61.20, 47.50
2018 09  0.074,264.02, 33.48, 61.23, 47.35
2018 10  0.081,266.34, 31.37, 62.47, 46.91
2018 11  0.092,268.89, 31.29, 60.28, 45.77
2018 12  0.113,273.00, 35.06, 55.02, 45.03
2018 13  0.144,278.21, 41.46, 46.95, 44.20
2018 14  0.184,283.46, 51.04, 32.54, 41.79
2018 15  0.221,287.38, 57.50, 24.38, 40.94
2018 16  0.258,290.41, 61.35, 21.21, 41.28
2018 17  0.293,292.44, 62.61, 22.87, 42.74
2018 18  0.323,293.58, 60.96, 29.37, 45.16
2018 19  0.348,294.24, 56.65, 36.99, 46.82
2018 20  0.365,294.28, 49.15, 48.20, 48.67
